brokertitle,type,beds,bath,propertysqft,address,state,main_address,administrative_area_level_2,locality,sublocality,street_name,long_name,formatted_address,latitude,longitude,price
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1,2.0,2184.207862,750 Park Ave Apt 9B,"New York, NY 10021","750 Park Ave Apt 9BNew York, NY 10021",New York,New York County,New York,Manhattan,750,"750 Park Ave #9b, New York, NY 10021, USA",40.7710157,-73.9642556,875000
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,12,10.0,11638.0,123 E 35th St,"New York, NY 10016","123 E 35th StNew York, NY 10016",United States,New York,New York County,New York,East 35th Street,"123 E 35th St, New York, NY 10016, USA",40.747472,-73.9796788,29200000
Brokered by Sbny Re,Co-op for sale,3,1.0,500.0,70-25 Yellowstone Blvd Unit 7B,"Forest Hills, NY 11375","70-25 Yellowstone Blvd Unit 7BForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,70-25,"70-25 Yellowstone Blvd #7b, Queens, NY 11375, USA",40.7223221,-73.8493655,240000
Brokered by Island Advantage Realty Llc,House for sale,3,2.0,1376.0,181-10 93rd Ave,"Hollis, NY 11423","181-10 93rd AveHollis, NY 11423",United States,New York,Queens County,Queens,93rd Avenue,"181-10 93rd Ave, Jamaica, NY 11423, USA",40.7077562,-73.7787888,669900
Brokered by R Jaundoo Realty Llc,Co-op for sale,3,2.0,1100.0,1425 Thieriot Ave Apt 6L,"Bronx, NY 10460","1425 Thieriot Ave Apt 6LBronx, NY 10460",New York,Bronx County,The Bronx,East Bronx,1425,"1425 Thieriot Ave #6l, Bronx, NY 10460, USA",40.8363242,-73.8654755,298000
Brokered by Legacy Estate Realty,Co-op for sale,3,2.0,1571.0,170-40 Highland Ave Unit 107,"Jamaica, NY 11432","170-40 Highland Ave Unit 107Jamaica, NY 11432",New York,Queens County,Queens,Jamaica,17040,"17040 Highland Ave Apt 107, Jamaica, NY 11432, USA",40.7125699,-73.79318,398000
Brokered by COMPASS,Pending,2,2.0,1110.0,1769 E 13th St Apt 6B,"Brooklyn, NY 11229","1769 E 13th St Apt 6BBrooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,1769,"1769 E 13th St #6b, Brooklyn, NY 11229, USA",40.6062808,-73.9595399,700000
Brokered by Douglas Elliman - 936 Broadway,Condo for sale,2,2.0,787.0,1904 Harman St Apt 4A,"Queens, NY 11385","1904 Harman St Apt 4AQueens, NY 11385",New York,Queens County,Queens,Ridgewood,1904,"1904 Harman St #4a, Ridgewood, NY 11385, USA",40.7078968,-73.9105088,925000
Brokered by RE/MAX Elite,Multi-family home for sale,4,4.0,3620.0,66 Archwood Ave,"Staten Island, NY 10312","66 Archwood AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Archwood Avenue,"66 Archwood Ave, Staten Island, NY 10312, USA",40.5357703,-74.1849822,1698000
Brokered by Keller Williams Rlty Landmark,House for sale,3,2.0,2184.207862,82-61 172nd St,"Jamaica, NY 11432","82-61 172nd StJamaica, NY 11432",United States,New York,Queens County,Queens,172nd Street,"82-61 172nd St, Jamaica, NY 11432, USA",40.7181351,-73.7934614,985000
"Brokered by Landair Property Advisors, LLC",Land for sale,3,2.3738608579684373,2184.207862,75-43 113th St,"Forest Hills, NY 11375","75-43 113th StForest Hills, NY 11375",United States,New York,Queens County,Queens,113th Street,"75-43 113th St, Flushing, NY 11375, USA",40.7185125,-73.834819,2200000
Brokered by Anita Loewy,Condo for sale,2,2.0,1372.0,20 W 64th St Unit 18K,"New York, NY 10023","20 W 64th St Unit 18KNew York, NY 10023",New York County,New York,Manhattan,West 64th Street,1 Lincoln Plaza,"1 Lincoln Plaza, 20 W 64th St #18b, New York, NY 10023, USA",40.7716812,-73.9815796,2795000
Brokered by RE MAX 1st Choice,Co-op for sale,3,2.0,1100.0,33-44 93rd St Unit 3S,"Jackson Heights, NY 11372","33-44 93rd St Unit 3SJackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,33-44,"33-44 93rd St #3c, Jackson Heights, NY 11372, USA",40.7551143,-73.8752634,519999
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1,2.0,2184.207862,48 Gramercy Park N Apt 1B,"Manhattan, NY 10010","48 Gramercy Park N Apt 1BManhattan, NY 10010",New York,New York County,New York,Manhattan,48,"48 Gramercy Park N #1b, New York, NY 10010, USA",40.7382884,-73.9851838,1495000
Brokered by Fillmore Real Estate,Multi-family home for sale,4,2.0,2184.207862,10716 Avenue J,"Brooklyn, NY 11236","10716 Avenue JBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,Avenue J,"10716 Avenue J, Brooklyn, NY 11236, USA",40.6468871,-73.8907758,900500
Brokered by Red Door Realty Group,Contingent,2,1.0,540.0,233 Freeborn St,"Staten Island, NY 10306","233 Freeborn StStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Freeborn Street,"233 Freeborn St, Staten Island, NY 10306, USA",40.5740408,-74.0931899,368888
Brokered by Master Associates Inc.,Multi-family home for sale,6,5.0,2816.0,7550 Amboy Rd,"Staten Island, NY 10307","7550 Amboy RdStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Amboy Road,"7550 Amboy Rd, Staten Island, NY 10307, USA",40.5086315,-74.2470232,1229000
Brokered by qvtopservice,Co-op for sale,2,1.0,2184.207862,68-02 140th St Unit A,"Kew Gardens Hills, NY 11367","68-02 140th St Unit AKew Gardens Hills, NY 11367",United States,New York,Queens County,Queens,140th Street,"68-2 140th St, Flushing, NY 11367, USA",40.7318363,-73.8270224,310000
Brokered by Corcoran East Side,House for sale,3,2.3738608579684373,2184.207862,8710 5th Ave,"Brooklyn, NY 11209","8710 5th AveBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,5th Avenue,"8710 5th Ave, Brooklyn, NY 11209, USA",40.6207751,-74.0273954,9000000
Brokered by Corcoran West Side,Co-op for sale,4,4.0,2184.207862,230 Central Park W Apt 3A,"New York, NY 10024","230 Central Park W Apt 3ANew York, NY 10024",New York,New York County,New York,Manhattan,230,"230 Central Park W #3a, New York, NY 10024, USA",40.7836703,-73.9709274,6350000
Brokered by Motivated Access Realty Corp.,Multi-family home for sale,7,3.0,2745.0,431 Saint Lawrence Ave,"Bronx, NY 10473","431 Saint Lawrence AveBronx, NY 10473",United States,New York,Bronx County,The Bronx,Saint Lawrence Avenue,"431 St Lawrence Ave, Bronx, NY 10473, USA",40.8136198,-73.8633277,949000
Brokered by Coldwell Banker American Homes,Co-op for sale,1,1.0,2184.207862,43-25 Douglaston Pkwy Unit 6D,"Douglaston, NY 11363","43-25 Douglaston Pkwy Unit 6DDouglaston, NY 11363",New York,Queens County,Queens,Douglaston,4325,"4325 Douglaston Pkwy Apt 6d, Douglaston, NY 11363, USA",40.7670699,-73.74642,230000
Brokered by Corcoran SoHo,House for sale,2,2.0,2046.0,18 Leonard St Apt 6B,"New York, NY 10013","18 Leonard St Apt 6BNew York, NY 10013",New York,New York County,New York,Manhattan,18,"18 Leonard St #6b, New York, NY 10013, USA",40.7184562,-74.008024,3498000
Brokered by Coldwell Banker Advantage,Townhouse for sale,3,2.0,1400.0,181 Morningstar Rd,"Staten Island, NY 10303","181 Morningstar RdStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,Morningstar Road,"181 Morningstar Rd, Staten Island, NY 10303, USA",40.633314,-74.145909,499000
Brokered by COMPASS,Townhouse for sale,5,4.0,6060.0,128 E 19th St,"Manhattan, NY 10003","128 E 19th StManhattan, NY 10003",United States,New York,New York County,New York,East 19th Street,"128 E 19th St, New York, NY 10003, USA",40.7366749,-73.9860561,7850000
Brokered by RE/MAX Team,Multi-family home for sale,5,3.0,1920.0,48-44 65th Pl,"Woodside, NY 11377","48-44 65th PlWoodside, NY 11377",United States,New York,Queens County,Queens,65th Place,"48-44 65th Pl, Flushing, NY 11377, USA",40.737193,-73.900139,1488000
"Brokered by BEN BAY REALTY, CO.",House for sale,4,2.0,1640.0,187 Latimer Ave,"Staten Island, NY 10314","187 Latimer AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Latimer Avenue,"187 Latimer Ave, Staten Island, NY 10314, USA",40.5986261,-74.1817717,588888
Brokered by COMPASS,Condo for sale,3,2.0,1929.0,416 W 52nd St Apt 312,"Manhattan, NY 10019","416 W 52nd St Apt 312Manhattan, NY 10019",New York,New York County,New York,Manhattan,416,"416 W 52nd St # 312, New York, NY 10019, USA",40.7647904,-73.9890812,1895000
Brokered by Exp Realty,Co-op for sale,1,1.0,730.0,37-30 73rd St Unit 5D,"Jackson Heights, NY 11372","37-30 73rd St Unit 5DJackson Heights, NY 11372",United States,New York,Queens County,Queens,73rd Street,"37-30 73rd St, Flushing, NY 11372, USA",40.7479556,-73.8929488,389888
Brokered by Keller Williams Realty Group,Condo for sale,2,2.0,969.0,1086 E 73rd St Unit 75,"Brooklyn, NY 11234","1086 E 73rd St Unit 75Brooklyn, NY 11234",New York,Kings County,Brooklyn,Bergen Beach,1086,"1086 E 73rd St #75, Brooklyn, NY 11234, USA",40.6280579,-73.9171101,275000
Brokered by Douglas Elliman - Bayside,Co-op for sale,2,2.0,2184.207862,211-35 23rd Ave Unit 5F,"Bayside, NY 11360","211-35 23rd Ave Unit 5FBayside, NY 11360",New York,Queens County,Queens,Bayside,211-35,"211-35 23rd Ave #5f, Bayside, NY 11360, USA",40.7806336,-73.7800528,360000
Brokered by Douglas Elliman - Roslyn,Multi-family home for sale,6,6.0,5712.0,71-12 66th St,"Glendale, NY 11385","71-12 66th StGlendale, NY 11385",United States,New York,Queens County,Queens,66th Street,"71-12 66th St, Flushing, NY 11385, USA",40.7023326,-73.8891107,1200000
"Brokered by Robert Defalco Realty, Inc.",Contingent,3,2.0,2310.0,68 Davis Ave,"Staten Island, NY 10310","68 Davis AveStaten Island, NY 10310",United States,New York,Richmond County,Staten Island,Davis Avenue,"68 Davis Ave, Staten Island, NY 10310, USA",40.6426635,-74.1108512,589000
Brokered by Engel & V�������,Condo for sale,3,3.0,2241.0,15 Central Park W Apt 16G,"New York, NY 10023","15 Central Park W Apt 16GNew York, NY 10023",New York County,New York,Manhattan,Central Park West,15 Central Park West,"15 Central Park West, 15 Central Park W #16g, New York, NY 10023, USA",40.7697189,-73.9810746,9975000
Brokered by Corcoran West Side Gallery,Condo for sale,3,1.0,550.0,382 Central Park W Apt 14T,"New York, NY 10025","382 Central Park W Apt 14TNew York, NY 10025",New York,New York County,New York,Manhattan,382,"382 Central Park W #14b, New York, NY 10025, USA",40.7935585,-73.9656011,650000
Brokered by Re/Max In The City,Co-op for sale,2,1.0,875.0,2390 Palisade Ave Apt 4K,"Bronx, NY 10463","2390 Palisade Ave Apt 4KBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,2390,"2390 Palisade Ave #4c, Bronx, NY 10463, USA",40.8797408,-73.9204193,240900
Brokered by East Coast REALTORS Inc,House for sale,3,5.0,1920.0,143-40 Poplar Ave,"Flushing, NY 11355","143-40 Poplar AveFlushing, NY 11355",United States,New York,Queens County,Queens,Poplar Avenue,"143-40 Poplar Ave, Flushing, NY 11355, USA",40.7492709,-73.8119666,1880000
Brokered by Coldwell Banker Reliable Real Estate,Co-op for sale,3,2.0,1750.0,870 Riverside Dr Apt 5D,"New York, NY 10032","870 Riverside Dr Apt 5DNew York, NY 10032",New York,New York County,New York,Manhattan,870,"870 Riverside Dr #5d, New York, NY 10032, USA",40.8368955,-73.9465033,750000
Brokered by Keller Williams Realty Liberty,Co-op for sale,1,1.0,2184.207862,153-25 88 St Unit 4E,"Howard Beach, NY 11414","153-25 88 St Unit 4EHoward Beach, NY 11414",New York,Queens County,Queens,Howard Beach,153-25,"153-25 88th St #4e, Howard Beach, NY 11414, USA",40.6661012,-73.8471882,199888
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,1,1.0,750.0,245-54 62nd Ave Unit Lower,"Little Neck, NY 11362","245-54 62nd Ave Unit LowerLittle Neck, NY 11362",United States,New York,Queens County,Queens,62nd Avenue,"245-54 62nd Ave, Douglaston, NY 11362, USA",40.7554479,-73.7319604,220000
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,2,1.0,1060.0,860 W 181st St Apt 56,"New York, NY 10033","860 W 181st St Apt 56New York, NY 10033",New York,New York County,New York,Manhattan,860,"860 W 181st St Apt 56, New York, NY 10033, USA",40.8511616,-73.9408472,650000
Brokered by Motivated Access Realty Corp.,Townhouse for sale,3,2.3738608579684373,1664.0,3217 Radcliff Ave,"Bronx, NY 10469","3217 Radcliff AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Radcliff Avenue,"3217 Radcliff Ave, Bronx, NY 10469, USA",40.872068,-73.8605942,615000
Brokered by New York Residence,Townhouse for sale,10,10.0,5227.0,30 Eighth Ave,"New York, NY 10014","30 Eighth AveNew York, NY 10014",United States,New York,New York County,New York,8th Avenue,"30 8th Ave, New York, NY 10014, USA",40.7378493,-74.0042287,12000000
Brokered by Real Estate Top Sales Llc,Land for sale,3,2.3738608579684373,2184.207862,8 Lake Ave,"Brooklyn, NY 11235","8 Lake AveBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Lake Avenue,"8 Lake Ave, Brooklyn, NY 11235, USA",40.5844107,-73.9380366,350000
Brokered by Corcoran Brooklyn Heights,Condo for sale,2,2.0,937.0,733 Ocean Pkwy # 7C,"Brooklyn, NY 11230","733 Ocean Pkwy # 7CBrooklyn, NY 11230",New York,Kings County,Brooklyn,Kensington,733,"733 Ocean Pkwy #7c, Brooklyn, NY 11230, USA",40.6305676,-73.9713098,849000
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,2,2.0,2184.207862,201 W 70th St Apt 8C,"New York, NY 10023","201 W 70th St Apt 8CNew York, NY 10023",New York,New York County,New York,Manhattan,201,"201 W 70th St #8c, New York, NY 10023, USA",40.7776749,-73.9829506,1400000
Brokered by Century Homes Realty Group LLC,House for sale,4,2.3738608579684373,2184.207862,28-26 160th St,"Flushing, NY 11358","28-26 160th StFlushing, NY 11358",United States,New York,Queens County,Queens,160th Street,"28-26 160th St, Flushing, NY 11358, USA",40.771268,-73.8046173,1398000
Brokered by COMPASS,Co-op for sale,2,2.0,2184.207862,45 E 72nd St Apt 8B,"Manhattan, NY 10021","45 E 72nd St Apt 8BManhattan, NY 10021",New York,New York County,New York,Manhattan,45,"45 E 72nd St #8b, New York, NY 10021, USA",40.7716485,-73.9646206,1395000
Brokered by Johnson Michael,Condo for sale,2,2.0,1100.0,1075 E 72nd St Unit 43,"Brooklyn, NY 11234","1075 E 72nd St Unit 43Brooklyn, NY 11234",New York,Kings County,Brooklyn,Bergen Beach,1075,"1075 E 72nd St #43, Brooklyn, NY 11234, USA",40.6280579,-73.9171101,489000
"Brokered by Homes R Us Realty of NY, Inc.",Townhouse for sale,2,1.0,1800.0,219 26th St,"Brooklyn, NY 11232","219 26th StBrooklyn, NY 11232",United States,New York,Kings County,Brooklyn,26th Street,"219 26th St, Brooklyn, NY 11232, USA",40.6594527,-73.9975913,950000
Brokered by Coldwell Banker Reliable,Contingent,11,9.0,6240.0,269 Grafton St,"Brooklyn, NY 11212","269 Grafton StBrooklyn, NY 11212",United States,New York,Kings County,Brooklyn,Grafton Street,"269 Grafton St, Brooklyn, NY 11212, USA",40.6616708,-73.9171293,990000
Brokered by 5 Boro Realty Corp,Multi-family home for sale,14,6.0,2184.207862,1792 Saint Johns Pl,"Brooklyn, NY 11233","1792 Saint Johns PlBrooklyn, NY 11233",United States,New York,Kings County,Brooklyn,Saint Johns Place,"1792 St Johns Pl, Brooklyn, NY 11233, USA",40.6696983,-73.9181397,1900000
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,2,2.0,747.0,127C Edgewater Park Unit C,"Bronx, NY 10465","127C Edgewater Park Unit CBronx, NY 10465",United States,New York,Bronx County,The Bronx,Edgewater Park,"127 D Edgewater Park, Bronx, NY 10465, USA",40.8233271,-73.8110122,215000
Brokered by Century 21 Bay Benjamin,Condo for sale,3,1.0,500.0,2 Bay Club Dr Apt 14R,"Bayside, NY 11360","2 Bay Club Dr Apt 14RBayside, NY 11360",New York,Queens County,Queens,Bayside,2,"2 Bay Club Dr #14r, Bayside, NY 11360, USA",40.7781488,-73.782075,375000
Brokered by Dynamik Real Estate,Co-op for sale,2,2.0,1697.0,292 Lafayette St Apt 2E,"Manhattan, NY 10012","292 Lafayette St Apt 2EManhattan, NY 10012",New York,New York County,New York,Manhattan,292,"292 Lafayette St #2a, New York, NY 10012, USA",40.7246503,-73.9960912,3695000
Brokered by Chase Global Realty Corp,House for sale,4,3.0,1379.0,135-16 221st St,"Springfield Gardens, NY 11413","135-16 221st StSpringfield Gardens, NY 11413",United States,New York,Queens County,Queens,221st Street,"135-16 221st St, Jamaica, NY 11413, USA",40.6767141,-73.7492797,728888
Brokered by City Realty Group,Condo for sale,3,2.0,1450.0,41-38 66th St Unit 5B,"Woodside, NY 11377","41-38 66th St Unit 5BWoodside, NY 11377",New York,Queens County,Queens,Woodside,41-38,"41-38 66th St #5b, Woodside, NY 11377, USA",40.7436792,-73.8983202,728000
Brokered by Ilite Realty Inc,Condo for sale,2,2.0,1230.0,40 Oceana Dr W Unit 1C,"Brooklyn, NY 11235","40 Oceana Dr W Unit 1CBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,40,"40 Oceana Dr W #1c, Brooklyn, NY 11235, USA",40.577533,-73.958513,789000
Brokered by COMPASS,Townhouse for sale,8,8.0,6000.0,175-177 E 78th St,"Manhattan, NY 10075","175-177 E 78th StManhattan, NY 10075",New York,New York County,New York,Manhattan,175,"175 E 78th St #177, New York, NY 10075, USA",40.7740611,-73.9582952,15990000
Brokered by eXp Realty BKNY,Co-op for sale,1,1.0,750.0,1293 E 5th St Apt 6B,"Brooklyn, NY 11230","1293 E 5th St Apt 6BBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1293,"1293 E 5th St #6b, Brooklyn, NY 11230, USA",40.6195811,-73.9706361,285000
"Brokered by BEN BAY REALTY, CO.",Multi-family home for sale,3,2.0,1540.0,2369 Bragg St,"Brooklyn, NY 11229","2369 Bragg StBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,Bragg Street,"2369 Bragg St, Brooklyn, NY 11229, USA",40.5949347,-73.9347766,779000
Brokered by COMPASS,Townhouse for sale,7,2.3738608579684373,4100.0,497 Madison St,"Brooklyn, NY 11221","497 Madison StBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Madison Street,"497 Madison St, Brooklyn, NY 11221, USA",40.6863946,-73.9376539,2995000
Built by Toll Brothers,For sale,2,2.0,1400.0,The Rockwell # 6E,"New York, NY 10025","The Rockwell # 6ENew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,2280000
Brokered by Chous Realty Group Inc,Co-op for sale,2,1.0,950.0,29-08 139th St Unit 2G,"Flushing, NY 11354","29-08 139th St Unit 2GFlushing, NY 11354",Queens County,Queens,Flushing,139th Street,Parking lot,"Parking lot, 2908 139th St #2g, Flushing, NY 11354, USA",40.7715386,-73.8302815,368000
Brokered by RE MAX Real Estate Professionals,Co-op for sale,1,1.0,700.0,1720 E 13th St Apt 1C,"Brooklyn, NY 11229","1720 E 13th St Apt 1CBrooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,1720,"1720 E 13th St #1c, Brooklyn, NY 11229, USA",40.6073781,-73.9601827,239000
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,4,2.0,4250.0,167 E 80th St,"New York, NY 10075","167 E 80th StNew York, NY 10075",United States,New York,New York County,New York,East 80th Street,"167 E 80th St, New York, NY 10075, USA",40.77551,-73.957627,7500000
"Brokered by BEN BAY REALTY, CO.",Multi-family home for sale,8,2.3738608579684373,3120.0,158 Bay 29th St,"Brooklyn, NY 11214","158 Bay 29th StBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,Bay 29th Street,"158 Bay 29th St, Brooklyn, NY 11214, USA",40.5992002,-73.9979142,2599000
Brokered by Exp Realty,Multi-family home for sale,6,3.0,2184.207862,212-15 35th Ave,"Bayside, NY 11361","212-15 35th AveBayside, NY 11361",United States,New York,Queens County,Queens,35th Avenue,"212-15 35th Ave, Flushing, NY 11361, USA",40.7688965,-73.7752498,1849000
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,2,2.0,2184.207862,300 E 40th St Apt 28B,"New York, NY 10016","300 E 40th St Apt 28BNew York, NY 10016",New York,New York County,New York,Manhattan,300,"300 E 40th St #28b, New York, NY 10016, USA",40.7479844,-73.9728389,2150000
Brokered by E Realty International Corp,Multi-family home for sale,7,3.0,1800.0,2528 West St,"Brooklyn, NY 11223","2528 West StBrooklyn, NY 11223",United States,New York,Kings County,Brooklyn,West Street,"2528 West St, Brooklyn, NY 11223, USA",40.58761,-73.9698943,1250000
Brokered by Realty Quest New York Inc,Co-op for sale,3,1.0,2184.207862,6115 97th St Apt Le,"Rego Park, NY 11374","6115 97th St Apt LeRego Park, NY 11374",United States,New York,Queens County,Queens,97th Street,"61-15 97th St, Rego Park, NY 11374, USA",40.7337965,-73.8620837,215000
Brokered by Hometime Estates LLC,Multi-family home for sale,3,2.0,3061.0,251 Kelly Blvd,"Staten Island, NY 10314","251 Kelly BlvdStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Kelly Boulevard,"251 Kelly Blvd, Staten Island, NY 10314, USA",40.5838227,-74.1568196,988000
Brokered by Corcoran Westside Columbus,Condo for sale,2,2.0,1033.0,77 E 110th St Apt 6A,"New York, NY 10029","77 E 110th St Apt 6ANew York, NY 10029",New York,New York County,New York,Manhattan,77,"77 E 110th St #6a, New York, NY 10029, USA",40.7958546,-73.9464985,925000
Brokered by RE MAX Edge,Multi-family home for sale,3,3.0,2520.0,2120 E 26th St,"Brooklyn, NY 11229","2120 E 26th StBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,East 26th Street,"2120 E 26th St, Brooklyn, NY 11229, USA",40.5994335,-73.9458671,1139000
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,2,2.0,1500.0,204 Richards Street Richards St Unit 204,"Brooklyn, NY 11231","204 Richards Street Richards St Unit 204Brooklyn, NY 11231",United States,New York,Kings County,Brooklyn,Richards Street,"204 Richards St, Brooklyn, NY 11231, USA",40.6756128,-74.0124872,2025000
Brokered by Corcoran West Side,Co-op for sale,1,1.0,2184.207862,16 Park Ave # 8C,"New York, NY 10016","16 Park Ave # 8CNew York, NY 10016",New York,New York County,New York,Manhattan,16,"16 Park Ave #8c, New York, NY 10007, USA",40.7478025,-73.9811899,530000
Brokered by Behfar Team Llc,House for sale,3,2.3738608579684373,2184.207862,1534 E 22nd St,"Brooklyn, NY 11210","1534 E 22nd StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 22nd Street,"1534 E 22nd St, Brooklyn, NY 11210, USA",40.6143817,-73.9525027,1100000
Brokered by Realty Trends Corp,Multi-family home for sale,5,6.0,3600.0,226 12th St,"Brooklyn, NY 11215","226 12th StBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,12th Street,"226 12th St, Brooklyn, NY 11215, USA",40.6681258,-73.9897865,2999990
Brokered by Keller Williams Rlty Landmark,Pending,3,2.0,2184.207862,61-19 75th Pl,"Middle Village, NY 11379","61-19 75th PlMiddle Village, NY 11379",United States,New York,Queens County,Queens,75th Place,"61-19 75th Pl, Flushing, NY 11379, USA",40.7223571,-73.8834031,925000
Brokered by Macaluso Realty,House for sale,5,3.0,1152.0,665 Nasby Pl,"Far Rockaway, NY 11691","665 Nasby PlFar Rockaway, NY 11691",United States,New York,Queens County,Queens,Nasby Place,"665 Nasby Pl, Far Rockaway, NY 11691, USA",40.6019328,-73.7587155,590000
"Brokered by Century 21 Amiable Realty Group II, Inc.",House for sale,3,3.0,2275.0,160-14 83rd St,"Howard Beach, NY 11414","160-14 83rd StHoward Beach, NY 11414",United States,New York,Queens County,Queens,83rd Street,"160-14 83rd St, Jamaica, NY 11414, USA",40.6556445,-73.848959,1699888
Brokered by Hauseit LLC - Hauseit LLC,Co-op for sale,2,2.0,2391.0,249 W 29th St Apt 2E,"New York, NY 10001","249 W 29th St Apt 2ENew York, NY 10001",New York,New York County,New York,Manhattan,249,"249 W 29th St #2e, New York, NY 10001, USA",40.7489369,-73.9948023,2399000
Brokered by RE MAX Edge,Co-op for sale,2,1.0,1000.0,1680 Ocean Ave Apt 5L,"Brooklyn, NY 11230","1680 Ocean Ave Apt 5LBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1680,"1680 Ocean Ave #5l, Brooklyn, NY 11230, USA",40.6211681,-73.9559582,379000
"Brokered by Nest Seekers International, Midtown",Co-op for sale,1,1.0,2184.207862,445 E 86th St Apt 16C,"New York, NY 10028","445 E 86th St Apt 16CNew York, NY 10028",New York,New York County,New York,Manhattan,445,"445 East 86th St #16c, New York, NY 10028, USA",40.7763285,-73.9475088,545000
Brokered by Sowae Corp,House for sale,3,1.0,2184.207862,90-07 107th Ave,"Ozone Park, NY 11417","90-07 107th AveOzone Park, NY 11417",United States,New York,Queens County,Queens,107th Avenue,"90-07 107th Ave, Queens, NY 11417, USA",40.6784764,-73.8476859,420000
Brokered by E Realty International Corp,Multi-family home for sale,18,12.0,2520.0,116-10 14th Rd,"College Point, NY 11356","116-10 14th RdCollege Point, NY 11356",United States,New York,Queens County,Queens,14th Road,"116-10 14th Rd, Flushing, NY 11356, USA",40.7845143,-73.8508657,2499000
Brokered by Exp Realty,Condo for sale,2,1.0,815.0,1718 Purdy St Apt Mb,"Bronx, NY 10462","1718 Purdy St Apt MbBronx, NY 10462",United States,New York,Bronx County,The Bronx,Purdy Street,"1718 Purdy St, Bronx, NY 10462, USA",40.840962,-73.854142,249000
Brokered by Staten Island Premiere Properties,Multi-family home for sale,4,4.0,2776.0,196 Bennett Ave,"Staten Island, NY 10312","196 Bennett AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Bennett Avenue,"196 Bennett Ave, Staten Island, NY 10312, USA",40.5365656,-74.1839422,1399999
Brokered by Coldwell Banker American Homes,Multi-family home for sale,5,3.0,2184.207862,4551 Kings Hwy,"Brooklyn, NY 11234","4551 Kings HwyBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Kings Highway,"4551 Kings Hwy, Brooklyn, NY 11234, USA",40.6290233,-73.9330774,949000
Brokered by REALHome Services & Solutions,House for sale,4,2.0,1440.0,11718 Nashville Blvd,"Cambria Heights, NY 11411","11718 Nashville BlvdCambria Heights, NY 11411",United States,New York,Queens County,Queens,Nashville Boulevard,"11718 Nashville Blvd, Queens, NY 11411, USA",40.6958663,-73.7450046,502900
"Brokered by Nest Seekers International, Westside",House for sale,6,5.0,5000.0,18 W 127th St,"New York, NY 10027","18 W 127th StNew York, NY 10027",United States,New York,New York County,New York,West 127th Street,"18 W 127th St, New York, NY 10027, USA",40.8079404,-73.942354,3200000
Brokered by Fillmore Real Estate,Co-op for sale,2,2.0,1300.0,9201 Shore Rd Apt C507,"Brooklyn, NY 11209","9201 Shore Rd Apt C507Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9201,"9201 Shore Rd #507, Brooklyn, NY 11209, USA",40.620502,-74.0396973,899000
Brokered by Charles H. Greenthal Property,Co-op for sale,1,1.0,681.0,27110 Grand Central Pkwy Apt 6J,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 6JFloral Park, NY 11005",New York,Queens County,Queens,Queens Village,27110,"27110 Grand Central Pkwy #6j, Queens Village, NY 11005, USA",40.7564761,-73.7212008,329000
